"COL0","COL1","COL2","COL3","COL4","COL5","COL6"
"5350563.01","535","Toronto","0563.01",2145.00,1235.00,63200.00
"5350563.02","535","Toronto","0563.02",1145.00,840.00,101000.00
"5350564.01","535","Toronto","0564.01",1035.00,685.00,106000.00
"5350564.02","535","Toronto","0564.02",1925.00,1295.00,95000.00
"5350570.01","535","Toronto","0570.01",1445.00,950.00,61200.00
"5350570.02","535","Toronto","0570.02",1305.00,1020.00,128000.00
"5350571.01","535","Toronto","0571.01",1405.00,955.00,76000.00
"5350571.02","535","Toronto","0571.02",1360.00,1090.00,101000.00
"5350572.01","535","Toronto","0572.01",2350.00,1820.00,89000.00
"5350572.04","535","Toronto","0572.04",1255.00,875.00,98000.00
"5350572.05","535","Toronto","0572.05",2035.00,1205.00,76500.00
"5350572.07","535","Toronto","0572.07",1895.00,1315.00,109000.00
"5350572.08","535","Toronto","0572.08",2125.00,1410.00,104000.00
"5350572.09","535","Toronto","0572.09",1755.00,1395.00,121000.00
"5350572.10","535","Toronto","0572.10",1595.00,1270.00,114000.00
"5350573.03","535","Toronto","0573.03",2420.00,1815.00,103000.00
"5350573.05","535","Toronto","0573.05",2155.00,1735.00,106000.00
"5350573.06","535","Toronto","0573.06",1875.00,1405.00,107000.00
"5350573.07","535","Toronto","0573.07",2375.00,1665.00,84000.00
"5350573.09","535","Toronto","0573.09",2250.00,1700.00,111000.00
"5350573.10","535","Toronto","0573.10",1040.00,855.00,125000.00
"5350573.11","535","Toronto","0573.11",1990.00,1515.00,121000.00
"5350574.00","535","Toronto","0574.00",2150.00,1495.00,71000.00
"5350575.01","535","Toronto","0575.01",2230.00,1580.00,87000.00
"5350575.02","535","Toronto","0575.02",1750.00,1220.00,64500.00
"5350575.03","535","Toronto","0575.03",2545.00,1960.00,95000.00
"5350575.04","535","Toronto","0575.04",2800.00,2170.00,99000.00
"5350575.05","535","Toronto","0575.05",2585.00,1980.00,103000.00
"5350575.07","535","Toronto","0575.07",1440.00,1140.00,123000.00
"5350575.08","535","Toronto","0575.08",2155.00,1580.00,112000.00
"5350576.04","535","Toronto","0576.04",1670.00,1405.00,131000.00
"5350576.05","535","Toronto","0576.05",2600.00,1995.00,109000.00
"5350576.06","535","Toronto","0576.06",2960.00,2330.00,116000.00
"5350576.07","535","Toronto","0576.07",1560.00,1195.00,113000.00
"5350576.09","535","Toronto","0576.09",1160.00,960.00,124000.00
"5350576.16","535","Toronto","0576.16",2575.00,2040.00,118000.00
"5350576.17","535","Toronto","0576.17",2525.00,1850.00,114000.00
"5350576.20","535","Toronto","0576.20",2660.00,1980.00,114000.00
"5350576.22","535","Toronto","0576.22",2760.00,2065.00,119000.00
"5350576.29","535","Toronto","0576.29",1650.00,1340.00,118000.00
"5350576.31","535","Toronto","0576.31",1275.00,1065.00,139000.00
"5350576.33","535","Toronto","0576.33",880.00,690.00,125000.00
"5350576.34","535","Toronto","0576.34",2425.00,1950.00,117000.00
"5350576.43","535","Toronto","0576.43",2515.00,1895.00,122000.00
"5350576.44","535","Toronto","0576.44",1065.00,865.00,130000.00
"5350576.45","535","Toronto","0576.45",1155.00,925.00,119000.00
"5350576.46","535","Toronto","0576.46",2210.00,1695.00,112000.00
"5350576.47","535","Toronto","0576.47",1495.00,1320.00,166000.00
"5350576.49","535","Toronto","0576.49",1830.00,1435.00,120000.00
"5350576.50","535","Toronto","0576.50",2500.00,1920.00,125000.00
"5350576.52","535","Toronto","0576.52",2230.00,1755.00,124000.00
"5350576.53","535","Toronto","0576.53",1675.00,1220.00,125000.00
"5350576.54","535","Toronto","0576.54",2210.00,1670.00,112000.00
"5350576.55","535","Toronto","0576.55",2425.00,2005.00,126000.00
"5350576.57","535","Toronto","0576.57",1380.00,1205.00,95000.00
"5350576.59","535","Toronto","0576.59",2625.00,2000.00,120000.00
"5350576.62","535","Toronto","0576.62",2605.00,2040.00,128000.00
"5350576.63","535","Toronto","0576.63",2630.00,2130.00,141000.00
"5350576.65","535","Toronto","0576.65",1100.00,820.00,114000.00
"5350576.66","535","Toronto","0576.66",2320.00,1855.00,122000.00
"5350576.68","535","Toronto","0576.68",1845.00,1525.00,133000.00
"5350576.69","535","Toronto","0576.69",2170.00,1710.00,132000.00
"5350576.73","535","Toronto","0576.73",1050.00,960.00,166000.00
"5350576.74","535","Toronto","0576.74",2855.00,2530.00,148000.00
"5350576.75","535","Toronto","0576.75",2220.00,1910.00,151000.00
"5350576.76","535","Toronto","0576.76",1920.00,1610.00,135000.00
"5350576.77","535","Toronto","0576.77",1730.00,1465.00,136000.00
"5350576.78","535","Toronto","0576.78",2005.00,1615.00,126000.00
"5350576.79","535","Toronto","0576.79",1100.00,860.00,117000.00
"5350576.80","535","Toronto","0576.80",1320.00,995.00,122000.00
"5350576.81","535","Toronto","0576.81",1725.00,1365.00,128000.00
"5350576.82","535","Toronto","0576.82",2015.00,1685.00,140000.00
"5350576.83","535","Toronto","0576.83",930.00,740.00,143000.00
"5350576.84","535","Toronto","0576.84",1950.00,1600.00,118000.00
"5350576.85","535","Toronto","0576.85",2655.00,2220.00,120000.00
"5350576.86","535","Toronto","0576.86",1725.00,1310.00,132000.00
"5350576.87","535","Toronto","0576.87",1435.00,1225.00,146000.00
"5350576.88","535","Toronto","0576.88",1475.00,1250.00,128000.00
"5350576.89","535","Toronto","0576.89",1455.00,1185.00,127000.00
"5350576.90","535","Toronto","0576.90",1285.00,950.00,114000.00
"5350576.91","535","Toronto","0576.91",4035.00,3310.00,140000.00
"5350576.92","535","Toronto","0576.92",1615.00,1235.00,93000.00
"5350576.93","535","Toronto","0576.93",3115.00,2310.00,114000.00
"5350576.94","535","Toronto","0576.94",1630.00,1320.00,124000.00
"5350576.95","535","Toronto","0576.95",1630.00,1360.00,137000.00
"5350576.96","535","Toronto","0576.96",2300.00,1865.00,125000.00
"5350576.97","535","Toronto","0576.97",1600.00,1375.00,131000.00
"5350576.98","535","Toronto","0576.98",9780.00,7865.00,119000.00
"5350576.99","535","Toronto","0576.99",1725.00,1390.00,120000.00
"5350577.00","535","Toronto","0577.00",3250.00,2450.00,130000.00
"5350577.01","535","Toronto","0577.01",1165.00,890.00,131000.00
